(1.4√x)	https://www.calculator.net/root-calculator.html
9.33	käänduvate_lemmade_osaarv
7.84	keskmine_lemma_pikkus
6.41	verbide_kolmanda_isiku_osaarv
6.04	verbide_esimese_isiku_osaarv
5.52	passiivi_osakaal
5.11	emotikonide_arv
4.83	TTR
4.45	asesõnade_esimese_isiku_osaarv
3.86	asesõnade_teise_isiku_osaarv
3.48	kokkukleepunud_kirjavahemärkide_arv
3.39	leksikonides_esinevade_osaarv
3.10	verbide_teise_isiku_osaarv
2.95	tajuverbide_osaarv
2.72	läbinisti_suur
2.21	korduvate_sõnade_arv
1.80	asesõnade_kolmanda_isiku_osaarv
1.66	korduvate_juppide_arv
1.62	puuduva_suure_algustähega
1.44	nudpartitsiibiga_verbide_osakaal
0.93	korduvate_tähtede_arv
-0.22	kaudse_kõneviisi_osakaal
