(1.4√x)	https://www.calculator.net/root-calculator.html
8.47	käänduvate_lemmade_osaarv
6.32	keskmine_lemma_pikkus
5.63	puuduva_suure_algustähega
5.24	kokkukleepunud_kirjavahemärkide_arv
4.45	verbide_esimese_isiku_osaarv
4.44	emotikonide_arv
4.42	passiivi_osakaal
4.31	leksikonides_esinevade_osaarv
4.06	verbide_kolmanda_isiku_osaarv
4.03	läbinisti_suur
3.99	TTR
3.42	verbide_teise_isiku_osaarv
3.01	asesõnade_teise_isiku_osaarv
2.63	asesõnade_kolmanda_isiku_osaarv
2.57	asesõnade_esimese_isiku_osaarv
1.78	korduvate_tähtede_arv
1.62	nudpartitsiibiga_verbide_osakaal
1.40	korduvate_sõnade_arv
1.38	korduvate_juppide_arv
0.45	kaudse_kõneviisi_osakaal
-1.65	tajuverbide_osaarv
