FAIL,DIMENSIOON,SKOORID,VASTAJAID,STD,KESKMINE SKOOR
www_tooelu_ee.ela_624263.txt,form,2.0 | 2.0 | 0.0 | 1.0 | 2.0 | 1.0 | 2.0 | 0.0 | 0.0 | 0.0,6,0.52,1.67
www_tooelu_ee.ela_624263.txt,spont,1.0 | 0.5 | 0.5 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,4,0.25,0.62
www_easl_ee.ela_201171.txt,form,1.0 | 2.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 2.0 | 1.0 | 0.0,6,0.52,1.33
www_easl_ee.ela_201171.txt,spont,0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,1,nan,1.0
www_autoleht_ee.ela_469280.txt,form,0.0 | 2.0 | 1.0 | 0.0 | 0.0 | 1.0 | 2.0 | 0.0 | 0.5 | 0.0,5,0.67,1.3
www_autoleht_ee.ela_469280.txt,spont,0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 1.0,3,0.29,0.83
www_syndikaat_ee.ela_469373.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_syndikaat_ee.ela_469373.txt,spont,0.0 | 0.0 | 2.0 | 0.0 | 1.0 | 3.0 | 2.0 | 0.0 | 2.0 | 1.0,6,0.75,1.83
ylle_mrt_ee.ela_101705.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.5 | 0.5 | 0.0 | 0.0,3,0.0,0.5
ylle_mrt_ee.ela_101705.txt,spont,0.0 | 1.0 | 3.0 | 1.0 | 2.0 | 3.0 | 3.0 | 1.0 | 3.0 | 2.0,9,0.93,2.11
rahvahaal_delfi_ee.ela_499379.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
rahvahaal_delfi_ee.ela_499379.txt,spont,2.0 | 2.0 | 0.0 | 2.0 | 3.0 | 0.5 | 1.0 | 0.0 | 0.5 | 0.0,7,0.93,1.57
www_admiralmarkets_ee.ela_456804.txt,form,0.0 | 2.0 | 2.0 | 0.0 | 1.0 | 1.0 | 1.0 | 0.0 | 0.0 | 1.0,6,0.52,1.33
www_admiralmarkets_ee.ela_456804.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 0.5 | 1.0,5,0.22,0.9
www_linnateater_ee.ela_612249.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0,1,nan,1.0
www_linnateater_ee.ela_612249.txt,spont,3.0 | 2.0 | 2.0 | 2.0 | 1.0 | 2.0 | 2.0 | 0.0 | 3.0 | 1.0,9,0.71,2.0
static_inimene_ee.ela_194968.txt,form,2.0 | 0.5 | 0.0 | 0.0 | 3.0 | 1.0 | 2.0 | 2.0 | 2.0 | 0.0,7,0.81,1.79
static_inimene_ee.ela_194968.txt,spont,2.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0,3,0.76,1.17
